Group,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
CONTROL,1.0,1052.86,1064.83,1243.03,1075.9,982.24,1114.39,886.62,889.51,1056.95,1156.34,966.86,888.73,1001.91,912.12,1009.57,1193.58,934.64,979.98,979.71,699.76,857.06,1014.97,1006.93,1068.75,1158.94,992.76,950.74,1070.96,1049.89,988.35,1020.03,980.26,878.78,1157.75,796.07,1108.32,901.55,1028.61,1166.25,933.77,1013.41,942.94,1030.98,975.56,1073.58,1051.69,1090.49,1206.9,897.54,1150.53,1089.33,906.23,1165.2,1194.91,1142.96,1048.59,947.12,979.26,1008.41,1034.48,974.11,878.24,947.14,962.05,830.78,1055.99,975.8,1063.46,849.48,1009.81,784.48,957.06,1085.12,942.19,1146.13,813.08,1077.98,1124.52,1089.64,953.38,1085.16,1103.96,1205.94,870.7,1173.01,1096.24,1189.05,1079.11,1036.61,1042.54,1041.83,1076.75,1241.64,1108.42,1335.21,1078.56,951.52,946.91,1264.47,1033.16
CONTROL,1.1,1026.13,1008.11,1217.21,1039.21,960.93,1078.16,863.42,866.72,1068.74,1113.33,979.43,904.22,1002.61,924.71,1009.05,1260.84,957.96,963.16,963.73,685.61,840.32,1059.74,1032.21,1072.81,1188.41,960.59,977.6,1065.61,1093.26,981.03,1038.58,1001.85,862.72,1183.92,787.9,1110.81,910.39,953.13,1218.87,924.36,1025.75,931.46,1012.45,979.29,1060.5,1072.64,1088.71,1205.47,875.9,1160.63,1062.76,982.24,1165.32,1192.68,1071.48,1008.49,965.74,1022.75,1009.7,1044.57,938.33,917.75,903.04,971.91,848.13,1080.65,959.46,1050.36,859.17,947.17,799.31,958.26,1094.69,944.92,1104.47,818.81,1080.64,1171.24,1118.26,943.29,1055.85,1090.74,1227.48,876.73,1104.25,1091.49,1152.67,1098.31,1005.04,1037.52,965.12,1076.89,1222.55,1092.0,1401.38,1075.88,876.86,922.12,1288.07,1022.88
CONTROL,1.2,1038.08,1058.78,1213.4,1029.06,988.52,1099.75,829.92,905.71,1027.02,1118.88,949.17,937.64,1007.99,902.49,1057.62,1179.96,934.18,973.45,977.52,717.32,877.33,1047.71,1069.74,1068.62,1172.14,999.31,972.1,1042.14,1077.88,954.87,1005.9,960.98,863.66,1133.0,785.76,1127.4,946.54,946.2,1168.21,939.35,1014.05,912.83,1049.1,955.83,1076.61,1026.56,1103.69,1229.37,919.14,1118.49,1074.29,983.68,1150.41,1194.95,1105.3,1025.19,919.88,978.97,1015.63,1053.88,972.62,919.2,904.06,978.85,813.82,1071.86,997.31,1018.41,836.13,978.26,830.67,947.85,1016.02,979.34,1126.49,840.77,1032.82,1215.39,1105.26,938.38,1062.12,1133.71,1204.2,851.98,1409.66,1098.04,1137.62,1096.06,1017.14,1042.59,1014.55,1049.34,1233.9,1072.92,1393.52,1081.13,855.53,917.85,1272.03,1062.82
CONTROL,1.3,1031.43,1027.03,1252.08,1055.4,986.21,1081.54,899.18,888.35,1093.08,1100.86,954.92,886.43,974.88,932.11,1045.95,1208.07,956.37,1016.14,984.79,722.87,855.28,1008.27,1038.41,1042.31,1206.03,999.68,954.44,1096.65,1061.87,958.26,1060.03,948.16,864.96,1174.04,805.19,1105.06,943.64,952.15,1214.01,919.57,990.01,900.07,1044.57,971.65,1025.64,1066.8,1060.89,1230.46,909.35,1116.26,1081.16,985.76,1144.84,1156.31,1075.67,1011.91,956.24,989.29,1039.08,1006.06,988.45,897.94,922.35,993.72,841.65,1081.89,997.53,1035.18,846.37,981.17,840.75,982.44,1052.12,937.03,1119.71,803.46,1032.07,1194.08,1069.56,919.59,1048.64,1093.06,1216.39,865.06,1429.8,1128.89,1147.95,1080.52,1025.87,1073.04,981.49,1042.43,1226.77,1117.04,1373.7,1100.17,847.41,896.39,1271.92,1011.82
CONTROL,1.4,1053.94,1009.23,1206.91,1014.25,966.07,1065.43,894.35,889.69,1075.04,1148.96,931.63,911.68,1002.64,1106.9,1077.58,1256.98,887.85,1007.37,982.8,697.02,864.1,1024.45,996.66,1069.46,1162.1,1017.27,972.14,1013.65,1054.65,970.1,1030.45,983.91,882.08,1164.48,798.27,1101.06,941.16,990.16,1207.52,952.79,998.29,937.32,1003.48,1019.29,1015.08,1045.6,1057.87,1194.18,901.97,1143.52,1055.37,976.58,1186.45,1183.66,1083.1,1017.42,952.09,1034.91,979.64,1052.02,963.0,888.24,931.74,1007.58,836.04,1096.04,994.35,1064.25,851.45,955.49,800.47,960.47,1055.15,940.59,1133.44,826.95,1055.57,1186.61,1086.2,941.02,1019.01,1139.3,1245.57,855.01,1435.55,1092.59,1108.76,1087.88,1037.31,1103.93,1041.83,1068.18,1228.53,1139.42,1334.58,1076.84,873.78,946.77,1291.44,1006.59
CONTROL,1.5,1042.3,1017.44,1277.34,1040.81,949.59,1113.26,871.65,896.44,1070.27,1143.22,953.88,863.46,972.95,1075.95,1059.99,1211.9,923.21,990.09,1007.99,691.51,889.6,978.06,1025.91,1055.95,1193.13,1030.66,979.73,1045.84,1071.27,957.17,1029.63,980.68,878.0,1189.43,781.33,1118.13,914.76,961.56,1213.02,983.13,1007.12,932.84,1027.51,945.75,1018.72,1064.71,1069.34,1257.01,904.23,1155.22,1075.17,957.48,1132.5,1150.18,1102.65,1018.8,947.78,973.16,990.56,1068.3,977.76,907.86,907.13,1012.58,812.87,1038.64,1011.69,1085.08,897.61,965.21,813.49,926.73,1047.0,941.88,1078.06,834.62,1052.88,1161.0,1119.4,928.41,1060.23,1144.55,1235.15,853.58,1404.11,1120.48,1083.25,1078.41,980.54,1065.86,1031.66,1065.14,1224.8,1101.45,1313.38,1062.53,857.1,930.0,1265.57,985.47
CONTROL,1.6,1035.38,975.71,1245.35,1022.39,955.11,1099.91,871.9,879.61,1057.6,1159.01,923.05,886.86,977.61,1072.61,1069.22,1224.51,897.71,983.04,994.36,707.02,873.56,1028.56,1047.72,995.33,1184.24,1040.86,1000.46,1080.42,1026.92,932.82,1061.61,958.72,903.45,1194.23,769.37,1198.93,926.45,1017.72,1169.53,958.39,1024.64,914.29,1057.1,993.4,1010.83,1092.64,1098.19,1185.02,898.0,1148.41,1052.63,971.65,1167.05,1153.65,1076.17,1065.48,948.41,1042.53,984.51,1015.92,937.69,873.58,936.38,1025.53,833.92,1043.45,968.6,1092.58,849.41,967.39,815.8,947.73,1104.37,955.57,1162.28,815.16,1082.61,1179.1,1070.79,927.59,1041.27,1110.61,1259.84,863.76,1347.81,1092.56,1083.17,1057.11,994.81,1019.8,981.88,1101.41,1212.55,1088.32,1310.13,1051.97,888.82,932.59,1220.17,1016.56
CONTROL,1.7,1025.18,994.15,1206.11,999.41,981.73,1064.51,890.01,871.55,1101.36,1159.77,968.21,903.51,975.84,1047.3,1020.91,1216.94,953.84,998.94,969.5,704.48,878.65,1019.87,1017.66,1000.94,1154.32,1004.3,974.15,1047.39,1040.97,959.54,1038.91,990.68,883.88,1184.35,756.25,1140.48,954.58,993.87,1215.24,902.37,1039.48,911.2,1037.25,986.03,995.34,1033.58,1085.15,1219.93,913.37,1111.08,1071.86,949.8,1194.53,1146.4,1073.42,1018.54,947.52,1015.84,999.14,1040.38,935.27,911.98,931.27,1012.71,825.28,1058.79,1029.05,1047.59,867.8,986.35,804.75,957.68,1069.3,941.05,1146.09,819.72,1026.12,1186.37,1100.94,938.41,1060.87,1094.84,1247.97,834.06,1346.61,1082.35,1085.1,1041.27,1007.79,1064.95,1019.11,1084.87,1410.15,1099.29,1340.34,1087.18,885.83,950.03,1269.97,1028.2
CONTROL,1.8,1036.11,1009.18,1225.36,1001.14,982.53,1111.23,900.21,881.06,1027.27,1110.66,971.0,908.1,1005.52,1045.73,1062.69,1229.9,943.51,984.0,1035.08,722.0,866.74,1008.79,1039.13,1015.46,1167.73,1003.79,956.78,1032.44,1107.05,978.25,1038.58,1012.38,892.2,1162.49,774.26,1167.59,933.56,1016.33,1214.53,926.24,1007.94,895.98,1057.1,983.21,995.95,1065.36,1059.84,1206.71,905.28,1137.32,1097.64,994.64,1134.81,1176.77,1050.96,1029.64,948.78,976.34,1009.14,1035.27,978.43,881.25,969.85,1011.64,825.1,1092.34,1024.13,1077.65,855.42,977.24,785.75,947.08,1083.63,921.82,1114.38,814.87,1070.78,1157.51,1122.95,955.19,1065.5,1091.61,1204.18,841.06,1310.34,1055.67,1089.97,1107.58,1032.94,1039.75,1064.28,1080.24,1447.32,1118.76,1245.12,1081.8,856.38,920.62,1274.89,1023.43
CONTROL,1.9,1041.64,1028.88,1212.57,1010.98,973.97,1094.45,916.68,853.79,1032.38,1145.89,932.59,911.63,1001.5,1080.56,1054.42,1240.48,938.93,988.73,954.9,706.27,853.03,1015.69,1063.43,1051.42,1198.22,1002.17,974.86,1066.69,1104.75,987.86,1045.63,988.52,888.4,1167.32,796.3,1131.14,931.96,986.43,1261.9,936.69,1007.56,930.43,1051.73,967.87,951.87,1044.32,1090.57,1222.57,933.46,1129.69,1059.64,1001.31,1200.42,1180.66,1081.51,1033.82,956.05,978.5,1025.96,1033.19,946.18,917.55,931.46,979.11,803.35,1074.02,989.84,1059.74,887.81,974.63,807.35,925.34,1074.38,945.67,1117.18,853.68,1013.31,1150.31,1080.26,938.47,1014.06,1095.03,1259.41,866.27,1317.98,1087.64,1068.77,1048.43,1028.23,1045.79,1011.04,1066.01,1457.15,1081.51,1245.68,1054.35,878.08,941.46,1288.9,1019.6
CONTROL,2.0,1035.73,997.82,1263.5,991.56,967.22,1063.73,823.05,856.54,1070.31,1133.07,939.66,898.85,976.82,1021.94,1027.38,1232.12,977.4,1009.05,986.77,735.28,871.58,1017.36,1001.36,1066.78,1217.01,1005.02,981.63,1032.7,1067.73,946.0,1060.17,999.22,928.63,1167.73,787.04,1111.72,931.08,972.82,1194.18,965.26,1039.65,918.07,1075.35,992.99,975.43,1047.35,1085.11,1213.41,932.72,1116.99,1077.33,992.85,1136.71,1144.32,1083.03,1056.24,928.08,1003.0,992.02,1063.65,952.87,883.49,910.26,965.92,831.35,1087.28,963.66,1069.06,870.74,951.42,810.28,950.78,1049.77,978.22,1122.13,816.29,1021.53,1197.14,1040.89,946.21,1081.93,1124.96,1195.95,863.85,1310.42,1067.45,1060.13,1080.53,970.13,1040.58,1060.54,1082.02,1406.11,1157.11,1229.25,1071.22,852.45,942.57,1262.87,1070.33
CONTROL,2.1,1068.42,1004.66,1254.06,977.94,967.22,1141.12,865.65,854.89,1070.42,1151.2,966.08,928.95,994.47,1009.47,1063.59,1213.71,948.94,981.04,959.95,709.45,869.49,1027.16,995.52,1080.12,1178.51,975.79,955.79,1057.32,1058.84,988.19,1074.54,979.32,899.13,1138.31,802.15,1097.18,940.87,1003.83,1211.53,950.59,979.33,961.73,1054.25,982.29,1008.2,1070.52,1073.84,1223.68,925.39,1147.71,1064.97,983.91,1203.91,1192.87,1088.58,996.23,958.32,974.98,985.36,1023.9,956.46,893.0,914.99,981.93,847.59,1273.31,958.96,1037.32,869.03,967.89,816.51,923.95,1112.92,932.61,1106.31,813.32,1034.44,1133.09,1070.75,958.62,1068.65,1087.97,1248.9,875.97,1195.94,1080.36,1033.21,1103.43,1003.11,1042.74,1036.17,1107.76,1415.74,1138.91,1282.41,1077.47,881.54,887.23,1307.82,1010.16
CONTROL,2.2,1062.44,988.94,1241.18,1006.08,959.64,1074.85,871.29,875.58,1080.02,1127.47,943.9,904.58,984.4,1033.88,1056.15,1254.4,923.65,970.6,956.9,723.74,894.21,1013.49,1038.98,1057.59,1199.14,961.33,953.34,1059.94,1060.98,975.0,1012.73,1007.4,908.98,1157.62,796.93,1083.47,954.72,970.0,1208.34,918.19,1008.74,897.5,1026.15,984.72,973.0,1067.53,1080.98,1246.99,932.71,1146.6,1053.18,1009.04,1120.97,1189.38,1059.91,1017.89,933.16,957.01,1010.73,1046.33,947.27,867.11,898.97,964.18,793.04,1288.42,979.53,1056.45,996.31,966.91,840.46,951.17,1088.57,926.99,1113.54,808.0,1035.81,1220.32,1118.29,947.22,1051.16,1092.83,1241.16,868.7,1245.64,1083.44,1074.8,1076.53,984.88,1042.28,1009.35,1059.8,1392.85,1124.61,1221.1,1076.07,876.89,966.88,1270.89,1052.4
CONTROL,2.3,985.0,1009.6,1281.41,987.61,941.83,1117.84,865.96,861.72,1068.91,1139.28,958.51,914.17,1009.13,1169.91,1027.44,1165.76,940.4,986.91,1007.55,698.56,870.28,1035.5,1039.62,1043.35,1209.02,1005.57,967.74,1067.0,1055.24,992.26,1034.91,986.93,890.17,1180.39,781.72,1139.5,931.47,957.35,1262.87,959.52,1021.14,927.22,1038.27,973.33,969.54,1063.2,1083.44,1208.38,878.12,1124.26,1066.27,910.74,1114.71,1179.42,1096.0,991.59,961.67,986.7,1022.09,1018.07,971.67,931.98,932.77,1010.62,841.18,1250.74,962.86,1091.6,1048.48,997.77,824.92,931.5,1055.37,958.1,1116.81,803.84,1058.85,1187.74,1109.66,939.58,1046.51,1056.23,1195.73,897.88,1236.64,1087.82,1061.01,1063.18,1014.72,1052.83,1025.46,1047.53,1372.09,1118.56,1241.23,1083.92,847.89,913.9,1281.26,1036.16
CONTROL,2.4,1002.12,983.19,1241.06,994.66,996.48,1114.84,881.78,865.36,1080.25,1104.42,973.42,923.39,998.35,1138.74,1077.9,1220.81,937.21,984.93,991.58,733.32,853.02,1052.53,1028.87,1039.5,1203.34,1027.21,1004.0,1044.08,1045.8,963.69,1021.29,978.87,882.99,1173.7,763.86,1148.96,1125.31,969.9,1184.83,942.44,1039.29,911.05,1063.55,971.01,965.13,1064.41,1080.3,1231.33,925.43,1161.52,1094.95,984.25,1165.33,1148.86,1092.52,1002.76,934.34,984.66,1014.88,1028.58,970.13,920.8,906.2,983.54,838.25,1259.11,952.52,1062.08,1069.13,974.46,790.75,968.54,1048.14,956.75,1110.97,818.08,1051.0,1189.72,1126.56,970.84,1046.54,1116.67,1240.59,853.14,1239.74,1023.43,1051.25,1076.1,990.22,1072.13,1012.44,1070.85,1504.62,1143.6,1255.65,1070.55,871.58,924.78,1318.99,1053.07
CONTROL,2.5,1037.83,998.5,1233.71,972.92,989.34,1117.7,855.05,874.72,1073.36,1128.09,923.34,934.35,992.43,1147.57,1030.37,1210.26,926.13,996.46,1003.11,710.2,852.73,1015.33,1017.46,1063.6,1216.7,1030.84,998.73,1055.23,1084.47,953.98,1044.34,990.56,881.09,1134.09,785.04,1132.66,1145.18,1160.45,1205.32,961.79,1087.0,927.78,994.87,974.72,945.18,1094.41,1052.07,1254.26,927.62,1121.78,1061.07,956.53,1124.4,1189.25,1080.07,1029.07,944.87,1030.92,1027.32,1037.42,959.56,883.08,924.24,995.73,836.5,1211.23,939.43,1098.86,992.14,1004.72,810.34,973.25,1095.09,924.57,1108.14,815.5,1031.02,1158.59,1068.98,925.94,1037.85,1084.72,1211.62,864.68,1241.83,1084.97,1010.69,1090.33,995.6,1070.09,1032.02,1068.01,1578.76,1117.83,1202.72,1075.91,896.09,919.25,1273.39,1032.91
CONTROL,2.6,1032.68,981.59,1216.8,980.32,993.91,1068.05,880.73,879.3,1098.8,1105.11,939.41,899.99,1028.79,1134.2,1029.54,1182.06,938.29,996.85,1006.16,697.27,872.03,998.81,1040.76,1079.94,1187.1,992.75,951.89,1016.47,1085.06,965.23,1047.03,961.84,898.56,1196.66,779.84,1150.96,1145.42,1169.93,1170.74,941.78,1029.16,901.61,1065.15,983.14,938.31,1055.34,1051.51,1225.45,930.86,1138.82,1044.88,1008.46,1176.21,1199.57,1056.68,1030.47,972.74,979.51,1009.35,1023.46,959.89,916.85,899.51,999.93,815.26,1197.57,988.52,1069.35,1001.22,977.33,812.43,961.19,1082.95,947.6,1110.81,829.26,1051.55,1118.2,1097.46,960.61,1051.97,1095.53,1287.91,874.46,1171.53,1080.65,1053.5,1121.02,1005.38,1041.63,1016.49,1067.46,1524.31,1134.98,1165.96,1074.23,878.55,913.0,1314.95,1016.79
CONTROL,2.7,1045.92,968.01,1209.8,960.95,958.12,1114.45,844.89,876.93,1038.91,1150.98,928.9,939.14,996.98,1106.38,1037.33,1199.2,934.44,971.64,962.87,728.54,868.72,981.3,1046.47,1052.32,1210.12,1028.74,989.51,1046.69,1067.25,970.64,1048.06,972.69,884.44,1158.25,798.85,1155.24,1117.93,1187.2,1230.65,974.73,1011.43,894.26,1065.05,920.91,953.06,1073.92,1092.25,1242.64,901.96,1130.25,1069.58,939.35,1184.3,1142.19,1115.32,1051.55,925.59,1013.93,1011.64,1058.78,967.22,927.61,909.11,963.37,821.71,1214.33,964.71,1056.52,972.7,988.42,805.48,933.13,1098.36,956.55,1131.44,805.05,1017.32,1174.19,1057.61,971.27,1060.21,1096.1,1233.15,851.52,1236.47,1068.63,1021.82,1060.35,1030.09,1032.76,1003.01,1055.92,1513.75,1100.53,1188.55,1084.57,881.68,923.42,1249.43,1032.24
