Cell_ID,Filename,Group,Region,Marker_status,Nucleus_area_um2,AF488_intensity,AF647_intensity,DAPI_coverage_pct
115,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),36.8,804.0,491.0,94.3
116,CON_CTX_05.czi,CON,Cortex,Olig2+ only,34.2,2699.0,309.0,92.6
117,CON_CTX_05.czi,CON,Cortex,Ki67+ only,38.6,2038.0,2575.0,96.4
118,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),42.6,1165.0,410.0,96.1
119,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),34.8,1307.0,1010.0,98.8
120,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),36.7,1362.0,1471.0,97.3
121,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),44.1,1436.0,785.0,90.6
122,CON_CTX_05.czi,CON,Cortex,Ki67+ only,38.4,1168.0,1642.0,77.3
123,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),54.9,952.0,1247.0,93.7
124,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),33.6,709.0,1097.0,93.2
125,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),37.5,1562.0,730.0,87.1
126,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),40.5,1150.0,661.0,88.6
127,CON_CTX_06.czi,CON,Cortex,Ki67+ only,29.9,2031.0,3052.0,95.7
128,CON_CTX_06.czi,CON,Cortex,Ki67+ only,29.0,1357.0,1844.0,85.9
129,CON_CTX_06.czi,CON,Cortex,Ki67+ only,33.9,2132.0,1787.0,94.3
130,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),36.5,908.0,816.0,97.9
131,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),40.0,1326.0,651.0,86.6
132,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),39.7,1692.0,653.0,89.6
133,CON_CTX_06.czi,CON,Cortex,Ki67+ only,46.8,563.0,1776.0,92.3
134,CON_CTX_06.czi,CON,Cortex,Olig2+ only,52.5,7643.0,341.0,95.3
135,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),50.5,1172.0,1092.0,97.4
136,CON_CTX_06.czi,CON,Cortex,Ki67+ only,33.8,1314.0,1607.0,80.7
137,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),32.4,1136.0,241.0,96.0
138,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),32.1,1937.0,916.0,85.7
139,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),37.7,2077.0,1167.0,45.3
140,CON_CTX_06.czi,CON,Cortex,Ki67+ only,48.4,1219.0,2152.0,98.0
141,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),39.7,1406.0,988.0,97.4
142,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),40.1,933.0,773.0,85.7
143,CON_CTX_06.czi,CON,Cortex,Olig2+ only,37.6,2977.0,548.0,91.0
144,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),39.1,1116.0,684.0,84.5
145,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),39.7,1823.0,666.0,97.1
146,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),36.5,614.0,672.0,75.8
147,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),40.2,996.0,523.0,83.5
148,CON_CTX_06.czi,CON,Cortex,Olig2+ only,28.1,2656.0,541.0,97.3
149,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),38.5,908.0,451.0,95.4
150,CON_CTX_06.czi,CON,Cortex,Negative (DAPI only),49.3,854.0,528.0,87.9
151,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),40.6,1048.0,776.0,90.6
152,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),38.4,939.0,1243.0,81.8
153,CON_CTX_07.czi,CON,Cortex,Ki67+ only,38.2,1151.0,3088.0,85.5
154,CON_CTX_07.czi,CON,Cortex,Olig2+ only,28.6,2569.0,850.0,95.9
155,CON_CTX_07.czi,CON,Cortex,Olig2+ Ki67+,48.8,2609.0,2324.0,90.7
156,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),42.7,1489.0,861.0,96.9
157,CON_CTX_07.czi,CON,Cortex,Ki67+ only,39.6,1317.0,1746.0,67.5
158,CON_CTX_07.czi,CON,Cortex,Olig2+ only,38.5,6313.0,898.0,86.3
159,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),47.9,1171.0,1129.0,81.7
160,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),36.1,1010.0,851.0,97.7
161,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),45.0,1430.0,1013.0,86.4
162,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),36.0,755.0,1235.0,90.1
163,CON_CTX_07.czi,CON,Cortex,Ki67+ only,38.6,1505.0,9514.0,89.9
164,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),37.4,794.0,1374.0,96.8
165,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),31.0,1731.0,857.0,93.1
166,CON_CTX_07.czi,CON,Cortex,Olig2+ only,42.7,4450.0,742.0,90.1
167,CON_CTX_07.czi,CON,Cortex,Ki67+ only,33.5,667.0,2123.0,93.0
168,CON_CTX_07.czi,CON,Cortex,Ki67+ only,41.8,1609.0,2761.0,93.0
169,CON_CTX_07.czi,CON,Cortex,Olig2+ only,41.0,4576.0,665.0,97.4
170,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),34.8,1044.0,1023.0,91.2
171,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),37.1,849.0,533.0,96.3
172,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),43.2,974.0,911.0,94.2
173,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),38.4,907.0,822.0,86.5
174,CON_CTX_07.czi,CON,Cortex,Negative (DAPI only),35.4,1867.0,682.0,96.2
175,CON_CTX_07.czi,CON,Cortex,Olig2+ only,27.4,3232.0,1203.0,98.2
176,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),42.4,1172.0,993.0,80.3
177,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),46.1,1227.0,359.0,96.1
178,CON_CTX_08.czi,CON,Cortex,Olig2+ only,42.0,3183.0,465.0,41.4
179,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),30.4,2164.0,926.0,95.8
180,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),39.3,921.0,691.0,95.1
181,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),42.0,1076.0,794.0,95.9
182,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),31.7,971.0,351.0,90.9
183,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),38.3,1761.0,801.0,90.0
184,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),35.6,1985.0,1007.0,94.2
185,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),30.6,791.0,407.0,96.0
186,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),24.1,1136.0,593.0,91.1
187,CON_CTX_08.czi,CON,Cortex,Ki67+ only,34.0,1102.0,2665.0,93.4
188,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),49.1,1365.0,956.0,91.9
189,CON_CTX_08.czi,CON,Cortex,Olig2+ only,50.6,3357.0,1147.0,88.2
190,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),41.8,2400.0,913.0,92.7
191,CON_CTX_08.czi,CON,Cortex,Olig2+ only,39.7,2541.0,499.0,91.3
192,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),46.2,1218.0,1453.0,94.4
193,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),34.7,991.0,630.0,94.9
194,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),41.5,893.0,1481.0,87.9
195,CON_CTX_08.czi,CON,Cortex,Ki67+ only,43.0,444.0,1722.0,84.3
196,CON_CTX_08.czi,CON,Cortex,Ki67+ only,45.1,598.0,1832.0,98.6
197,CON_CTX_08.czi,CON,Cortex,Olig2+ only,43.9,2843.0,1143.0,86.9
198,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),52.4,1517.0,669.0,95.5
199,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),34.3,1309.0,615.0,95.6
200,CON_CTX_08.czi,CON,Cortex,Negative (DAPI only),30.1,867.0,578.0,92.0
201,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),39.0,557.0,487.0,90.1
202,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),35.2,1250.0,1487.0,96.9
203,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),33.2,1259.0,1294.0,93.0
204,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),41.2,2040.0,587.0,96.4
205,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),29.8,1010.0,576.0,86.2
206,CON_CTX_09.czi,CON,Cortex,Olig2+ only,43.3,3473.0,1182.0,91.0
207,CON_CTX_09.czi,CON,Cortex,Ki67+ only,41.0,1212.0,2884.0,97.2
208,CON_CTX_09.czi,CON,Cortex,Ki67+ only,38.6,1236.0,2092.0,90.7
209,CON_CTX_09.czi,CON,Cortex,Ki67+ only,41.8,1031.0,5683.0,91.6
210,CON_CTX_09.czi,CON,Cortex,Ki67+ only,47.1,2266.0,1849.0,89.3
211,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),33.9,879.0,601.0,81.4
212,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),40.3,488.0,936.0,89.8
213,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),35.3,1961.0,351.0,87.4
214,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),43.8,1060.0,473.0,82.8
215,CON_CTX_09.czi,CON,Cortex,Ki67+ only,37.4,1246.0,2115.0,97.7
216,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),41.5,178.0,893.0,76.9
217,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),42.1,841.0,399.0,88.3
218,CON_CTX_09.czi,CON,Cortex,Ki67+ only,36.7,1323.0,1530.0,98.4
219,CON_CTX_09.czi,CON,Cortex,Ki67+ only,39.6,1291.0,2253.0,85.2
220,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),44.6,1687.0,511.0,92.8
221,CON_CTX_09.czi,CON,Cortex,Olig2+ Ki67+,36.9,2963.0,2972.0,76.1
222,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),35.5,2194.0,818.0,76.7
223,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),36.2,1591.0,969.0,96.2
224,CON_CTX_09.czi,CON,Cortex,Ki67+ only,31.8,1492.0,2846.0,93.8
225,CON_CTX_09.czi,CON,Cortex,Negative (DAPI only),46.5,1159.0,462.0,96.5
226,CON_CTX_10.czi,CON,Cortex,Ki67+ only,45.1,714.0,1535.0,95.3
227,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),39.0,1302.0,676.0,89.9
228,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),34.6,921.0,657.0,92.1
229,CON_CTX_10.czi,CON,Cortex,Olig2+ only,40.0,2695.0,1331.0,98.3
230,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),32.3,1256.0,1071.0,95.3
231,CON_CTX_10.czi,CON,Cortex,Ki67+ only,38.1,1762.0,1521.0,68.7
232,CON_CTX_10.czi,CON,Cortex,Ki67+ only,36.8,636.0,2201.0,95.3
233,CON_CTX_10.czi,CON,Cortex,Ki67+ only,44.1,1343.0,1545.0,77.3
234,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),40.3,979.0,436.0,87.5
235,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),34.4,393.0,1130.0,96.0
236,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),40.9,1102.0,619.0,93.6
237,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),43.3,1242.0,638.0,96.8
238,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),42.0,1449.0,841.0,94.0
239,CON_CTX_10.czi,CON,Cortex,Olig2+ only,48.0,5840.0,893.0,88.6
240,CON_CTX_10.czi,CON,Cortex,Ki67+ only,30.6,710.0,1508.0,97.4
241,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),32.9,1013.0,1044.0,96.4
242,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),43.1,2180.0,1176.0,94.7
243,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),51.8,1624.0,1114.0,96.5
244,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),34.8,1291.0,1272.0,90.5
245,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),42.2,1719.0,1176.0,97.5
246,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),40.5,1551.0,731.0,88.4
247,CON_CTX_10.czi,CON,Cortex,Ki67+ only,31.1,1408.0,2016.0,93.9
248,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),25.2,1406.0,1092.0,66.6
249,CON_CTX_10.czi,CON,Cortex,Ki67+ only,34.5,1748.0,1841.0,92.0
250,CON_CTX_10.czi,CON,Cortex,Negative (DAPI only),35.6,945.0,1198.0,98.0
251,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,46.7,3016.0,673.0,93.4
252,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),51.2,1991.0,470.0,95.0
253,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,39.2,3419.0,843.0,82.0
254,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),38.6,2229.0,1187.0,96.8
255,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,37.0,3083.0,886.0,94.6
256,CON_CC_01.czi,CON,Corpus callosum,Ki67+ only,29.9,2485.0,2507.0,98.3
257,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),37.7,1968.0,953.0,96.2
258,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),41.2,1920.0,1443.0,95.9
259,CON_CC_01.czi,CON,Corpus callosum,Olig2+ Ki67+,34.9,3243.0,1763.0,93.0
260,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,45.0,3661.0,999.0,78.5
261,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),34.3,1945.0,644.0,94.9
262,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),35.6,694.0,504.0,72.2
263,CON_CC_01.czi,CON,Corpus callosum,Ki67+ only,43.6,1850.0,2078.0,77.2
264,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,25.7,5497.0,858.0,84.2
265,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,37.1,3163.0,811.0,98.1
266,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),33.3,1801.0,968.0,95.5
267,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,38.2,3966.0,758.0,95.9
268,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),35.5,1202.0,417.0,89.9
269,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),40.5,2042.0,680.0,96.0
270,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,40.1,5034.0,1016.0,90.4
271,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,41.2,6045.0,979.0,55.6
272,CON_CC_01.czi,CON,Corpus callosum,Olig2+ Ki67+,45.7,4730.0,1984.0,89.3
273,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),44.4,1097.0,1413.0,97.4
274,CON_CC_01.czi,CON,Corpus callosum,Negative (DAPI only),42.3,1661.0,847.0,94.8
275,CON_CC_01.czi,CON,Corpus callosum,Olig2+ only,32.0,4251.0,974.0,95.5
276,CON_CC_02.czi,CON,Corpus callosum,Olig2+ only,39.4,3483.0,406.0,91.3
277,CON_CC_02.czi,CON,Corpus callosum,Olig2+ Ki67+,40.2,2837.0,2124.0,81.2
278,CON_CC_02.czi,CON,Corpus callosum,Ki67+ only,36.9,2017.0,1627.0,96.7
279,CON_CC_02.czi,CON,Corpus callosum,Olig2+ only,39.8,2915.0,647.0,88.5
280,CON_CC_02.czi,CON,Corpus callosum,Olig2+ Ki67+,34.6,2755.0,2823.0,91.8
281,CON_CC_02.czi,CON,Corpus callosum,Negative (DAPI only),32.0,2103.0,1144.0,94.4
282,CON_CC_02.czi,CON,Corpus callosum,Negative (DAPI only),43.1,1721.0,563.0,98.6
283,CON_CC_02.czi,CON,Corpus callosum,Olig2+ Ki67+,36.7,4351.0,2008.0,90.7
284,CON_CC_02.czi,CON,Corpus callosum,Olig2+ only,31.9,3105.0,1093.0,88.5
